Species name,Common name,Origin,Foliage type,Type,Size,Form,Grassy woodland,Damp heathy woodland,Swampy riparian  woodland,JUN,JULY,AUG ,SEPT,OCT,NOV,DEC,JAN,FEB ,MAR,APR,MAY
Acer beugerianum,Trient maple,Exotic,Deciduous,Tree,Small,Round,,,,,,,,,,,,,,,
Acer x freemanii 'Jeffersred',Autumn Blaze maple,Exotic,Deciduous,Tree,Medium,Vase,,,,,,,,,,,,,,,
Angophora costata 'Rose Gum',Smooth Barked Apple,"VIC, NSW, QL",Evergreen,Tree,Medium,Round,,,,,,,,1,1,1,,,,,
Brachychiton populneus,Kurrajong,"VIC, NSW, QL",Semi-Deciduous,Tree,Medium,Vase,,,,,,,1,1,1,1,,,,,
Calodendrum capense,Cape Chestnut,Exotic,Evergreen,Tree,Small,Round,,,,,,,,,1,1,,,,,
Corymbia eximia 'Nana',Dwarf Yellow Bloodwood,NSW,Evergreen,Tree,Small,Round,,,,,,1,1,1,,,,,,,
Eucalyptus cinerea,Argyle apple,"N VIC, NSW",Evergreen,Tree,Medium,Vase,,,,1,1,1,1,1,1,,,,,,1
Eucalyptus leucoxylon,Yellow gum,"E VIC, SA",Evergreen,Tree,Medium,Round,1,,,1,1,1,1,1,1,1,,,,1,1
Eucalyptus sideroxylon 'Rosea',Black Iron bark,"N VIC, NSW, QL",Evergreen,Tree,Medium,Vase,,,,1,1,1,1,1,1,1,,,,1,1
Lophostemon confertus,Brush box,"NSW, QL",Evergreen,Tree,Large,Pyramidal,,,,,,,,1,1,1,,,,,
Melaleuca linarifolia,Snow in summer,"NSW, QL",Evergreen,Tree,Small,Round,,,,,,,,1,1,1,1,1,,,
Nyssa sylvatica,Black Tupelo,Exotic,Deciduous,Tree,Medium,Pyramidal,,,,,,,,,,1,1,,,,
Quercus coccinea,Kermes Oak,Exotic,Deciduous,Tree,Medium,Pyramidal,,,,,,,,,,,,,,,
Ulmus glabra 'Lutescens',Golden elm,Exotic,Deciduous,Tree,Medium,Round,,,,,,,,,,,,,,,
Ulmus parvifolia,Chinese elm,Exotic,Deciduous,Tree,Medium,Vase,,,,,,,,,,,,,,,
Zelkova serrata 'Green Vase',Japanese Zelkova,Exotic,Deciduous,Tree,Medium,Round,,,,,,,,,,,,,,,
Eucalyptus baxteri,Brown Stringybark,Indigenous,Evergreen,Tree,Large,Vase,1,1,,,,,,,,1,1,1,1,1,
Eucalyptus goniocalyx,Long-Leaved Box,Indigenous,Evergreen,Tree,Medium,Vase,1,1,,1,1,1,,,,,,,1,1,1
Eucalyptus radiata subsp. Radiata,Narrow-Leaved Peppermint,Indigenous,Evergreen,Tree,Small,Round,1,1,,,,,,1,1,1,1,,,,
Eucalyptus camaldulensis,River red gum,Indigenous,Evergreen,Tree,Large,Round,1,,1,1,1,,,,,1,1,1,1,1,1
Eucalyptus fulgens,Green scentback,Indigenous,Evergreen,Tree,Large,Vase,1,,1,,,,,,,,1,1,1,1,1
Acacia implexa,Lightwood,Indigenous,Evergreen,Tree,Small,Pyramidal,1,,,,1,1,1,1,,,,,,,
Acacia mearnsii,Black Wattle,Indigenous,Evergreen,Tree,Medium,Pyramidal,1,,1,,,,1,1,1,1,,,,,
Acacia melanoxylon,Blackwood,Indigenous,Evergreen,Tree,Medium,Round,1,,1,,1,1,1,1,,,,,,,
Allocasuarina littoralis,Black She-Oak,Indigenous,Evergreen,Tree,Small,Weeping,1,,1,1,1,1,1,1,,,,,1,1,1
Banksia integrifolia,Coast Banksia,Indigenous,Evergreen,Tree,Medium,Pyramidal,,,,1,1,1,1,1,1,1,1,1,1,1,1
Banksia marginata,Silver Banksia,Indigenous,Evergreen,Tree,Small,Pyramidal,,1,1,1,1,1,1,1,1,,,1,1,1,1
Banksia spinulosa var. cunninghammii,Hairpin Banksia,Indigenous,Evergreen,Tree,Small,Pyramidal,,,,1,1,1,1,1,1,1,,,,1,1
Bursaria spinosa,Sweet Bursaria,Indigenous,Evergreen,Tree,Small,Pyramidal,1,,1,,,,,,1,1,1,1,,,
Callistemon pallidus,Lemon Bottlebrush,Indigenous,Evergreen,Tree,Small,Pyramidal,,,,,,,1,1,1,1,1,,,,
Callistemon sieberi,River Bottlebrush,Indigenous,Evergreen,Tree,Medium,Pyramidal,,,1,,,,,,1,1,1,,,,
Melaleuca ericifolia,Swamp Paperbark,Indigenous,Evergreen,Tree,Small,Round,,,1,,,,,1,1,,,,,,
Melaleuca squarrosa,Scented Paperbark,Indigenous,Evergreen,Tree,Small,Vase,,1,1,,,,1,1,1,1,1,1,,,
